,Row.names,region,code,lat,long,Water.T,pH,Cond,Turb,Chl,Secchi,Alkalinity,Ca,Mg,K,Na,Si,Cl,NO2,NO3,SO4,PO4,TN,TP,DO..,DO,Carbonate,Silicate,DOC,Waterdepth,MaxDepth,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Slope_100,Wshd_area,Elevation,area_sub.Basin,area_waterbody,MAT,P.season,MAP,T.season,Connectivity,X..aquatic.habitat,Ecoregion,Freshwater.ecoregion,TRI,tri1,lanfdorm,geology,land.cover,HFP2009,Bare.Desert,Barren.Tundra,Cold.Grassland,Cool.Grasses.and.Shrubs,Cool.Southern.Hemisphere.Mixed.Forests,Corn.and.Beans.Cropland,Crops.and.Town,Crops..Grass..Shrubs,Dry.Woody.Scrub,Evergreen.Broadleaf.Forests,Evergreen.Forest.and.Fields,Fields.and.Woody.Savanna,Forest.and.Field,Glacier.Ice,Grass.Crops,Hot.and.Mild.Grasses.and.Shrubs,Inland.Water,Low.Sparse.Grassland,Montane.Tropical.Forests,Rice.Paddy.and.Field,Savanna..Woods.,Sea.Water,Seasonal.Tropical.Forest,Semi.Desert.Shrubs,Shrub.Deciduous,Shrub.Evergreen,Southern.Hemisphere.Mixed.Forest,Succulent.and.Thorn.Scrub,Tropical.Degraded.Forest,Tropical.Rainforest,Upland.Tundra,Urban,Wooded.Wet.Swamp,Woody.Savanna,Barren,Grassland.and.shrubs,Forests,Savanna,Rainforest,Wetland,Agriculture,Crops.and.town,Urban.1,Inland.water,lake_depth_ratio,lake_catch_ratio,catch_vol_ratio
30,Chl-Crr_LagunCpn,Chile-Andean,Chl-Crr_LagunCpn,-32.6,-70.558,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2467,120.2,0.074,72,95,334,3806,0,0,Chilean matorral,341,NA,0.401392,3,2,Shrub Deciduous,6.253212929,21.09,0,0.42,0,0,0,1.62,5.96,0,0,0,0.7,0,0,0,2.18,0,0,0,0,0,0,0,23.66,0,15.15,20.03,0,0,0,8.85,0,0,0.4,21.09,56.22,20.03,1.1,0,0,0,1.62,0,0,NA,NA,NA
31,Chl-Crr_LagunCrn,Chile-Coastal,Chl-Crr_LagunCrn,-33.43,-70.841,NA,9.8,NA,NA,NA,NA,213.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,2.1,NA,NA,NA,NA,228.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473,105.9,0.228,144,101,351,4332,8.00E-04,0.273782922,Chilean matorral,341,NA,0.425,3,2,"Crops, Grass, Shrubs",38,0,0,0.28,0,0,0,22.52,41.99,0,0,0.06,6.26,0,0,0,0.68,0.33,0,0,0,0.39,0,0,13.06,0,0.48,2.83,0,0,0.43,0.06,10.6,0.11,0.01,0,56.55,2.89,6.66,0.43,0.11,0,22.52,10.6,0.33,NA,NA,NA
32,Chl-Crr_LagundTn,Chile-Andean,Chl-Crr_LagundTn,-35.177,-70.549,NA,8,NA,NA,NA,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.01,NA,NA,NA,NA,NA,NA,NA,4.33,10.05,1.36,96.18,NA,3,22.2,1.03,1080.8,11.45,38.1,2547,4.2,12.3,48,83,788,4249,8.00E-04,0.478779401,Valdivian temperate forests,341,NA,0.166783,4,1,Bare Desert,3.250087738,48.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.64,0,0,0,0,0,0,1.67,0,14.4,0.28,0,0,0,20.53,0,0,13.92,48.44,36.73,0.28,13.92,0,0,0,0,0,0.64,0.195045045,0.113648294,0.396132252
33,Chl-Crr_LagunNgr,Chile-Andean,Chl-Crr_LagunNgr,-33.648,-70.125,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,298.12,NA,NA,NA,NA,2.9,NA,NA,5.15,14.46,1.8,181.89,NA,3,35.3,0.85,2468,18.62,56.3,2700,7.4,7.649,61,86,556,4209,0.0012,0.700967075,Southern Andean steppe,341,NA,-9999,4,1,Inland Water,1.757507324,52.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0.5,0,22.18,8.95,0,0,0,6.83,0,0,7.97,52.44,29.51,8.95,7.97,0,0,0,0,0,1.16,0.145892351,0.091474245,0.309527737
34,Chl-Crr_LagunOch,Chile-Andean,Chl-Crr_LagunOch,-34.0299,-70.317,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3279,211.8,0.217,19,86,630,4088,0,0,Valdivian temperate forests,341,NA,0.473694,4,1,Bare Desert,2.251257896,59.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0,25.68,3.64,0,0,0,2.19,0,0,6.19,59.67,30.46,3.64,6.19,0,0,0,0,0,0,NA,NA,NA
35,Chl-Crr_LgnAlbfr,Chile-Coastal,Chl-Crr_LgnAlbfr,-33.752,-71.679,NA,7.8,NA,NA,NA,NA,102.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,9.7,NA,NA,NA,NA,142.6,NA,NA,0.26,2.42,1.34,1.6,NA,3,6.1,0.01,2058.7,7.21,1.8,13,122,0.591,175,105,513,3711,0.0016,0.267440921,Chilean matorral,341,NA,0.371628,3,1,"Crops, Grass, Shrubs",4.758169651,0,0,0,0,0,0,0.32,55.08,0,0,0,0.34,0,0,0,0,3.65,0,0,0,0,0,34.86,3.85,0.23,0,0,0,0,1.03,0,0.66,0,0,0,59.16,0,0.34,35.89,0,0,0.32,0.66,3.65,0.042622951,0.144444444,1.125
36,Chl-Crr_LgnCnchc,Chile-Andean,Chl-Crr_LgnCnchc,-32.087,-70.585,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0.1,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,190.3,0.073,98,94,251,3686,4.00E-04,0.027711936,Chilean matorral,341,NA,0.25675,4,1,Shrub Evergreen,6.728223801,24.33,0,0.17,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,38.98,19.34,0,0,0,10.59,0,0,1.87,24.33,54.47,19.34,1.87,0,0,0,0,0,0,NA,NA,NA
37,Chl-Crr_LgndlInc,Chile-Andean,Chl-Crr_LgndlInc,-32.822,-70.133,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2849,166.9,2.103,55,94,349,4307,4.00E-04,0.084131524,Southern Andean steppe,341,NA,0.197237,2,2,Inland Water,14.3394661,83.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,3.64,0.4,0,0,0,12.51,0,0,0,83.21,16.15,0.4,0,0,0,0,0,0,0.24,NA,NA,NA
38,Chl-Crr_Peral,Chile-Coastal,Chl-Crr_Peral,-33.5051,-71.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,57.6,0.243,171,103,487,3333,0.002,1.069956062,Chilean matorral,341,NA,0.318033,3,1,"Crops, Grass, Shrubs",34.78853226,0,0,0.04,0,0,0,5.17,51.81,0,0,0.16,1.91,0,0,0,0,3.64,0,0,0,0.12,0,33.94,0.98,0.37,0,0,0,0,1.27,0,0.66,0,0,0,53.2,0.16,2.03,35.21,0,0,5.17,0.66,3.64,NA,NA,NA
39,Chl-Crr_Vichuqun,Chile-Coastal,Chl-Crr_Vichuqun,-34.8059,-72.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,5,NA,NA,NA,NA,40.9,NA,NA,10.55,31.26,2.71,228.7,NA,3,21.7,5.83,454,6.93,442.2,4,80.3,12.232,148,99,764,3781,0.0028,0.969905234,Valdivian temperate forests,341,NA,0.042449,4,1,Inland Water,4.758784771,0,0,0,0,0,0,13.1,14.36,0,0,0.25,13.28,0,0,0,0.58,4.61,0,0,0,4.49,0.47,30.53,0.21,11.34,0,0,0,0,6.08,0,0,0,0.46,0,26.49,0.25,18.23,36.61,0,0,13.1,0,5.08,0.486175115,0.023857983,1.933537385
