"","Lake","Intercept only","Model GS","Model GI"
"1","fondococha","96","95","98"
"2","llaviucu","64","57","52"
"3","pinan","64","63","64"
"4","titicaca","88","86","89"
"5","umayo","36","35","36"
"6","yahuarcocha","40","40","35"
