"","Lake","Intercept only","Model I","Model GI"
"1","fondococha","96","95","98"
"2","llaviucu","64","53","52"
"3","pinan","64","64","64"
"4","titicaca","88","85","89"
"5","umayo","36","35","36"
"6","yahuarcocha","40","36","35"
