"","Lake","Intercept only","Model GS","Model GI"
"1","Fondococha","30","25","23"
"2","Llaviucu","11","8.7","7.4"
"3","Piñan","8.6","6.4","5.7"
"4","Titicaca","23","17","14"
"5","Umayo","6.9","6.2","5.2"
"6","Yahuarcocha","9.2","7.9","7.9"
