"","Lake","Intercept only","Model I","Model GI"
"1","fondococha","25","25","25"
"2","llaviucu","27","23","23"
"3","pinan","21","18","22"
"4","titicaca","43","40","41"
"5","umayo","17","9.9","9.4"
"6","yahuarcocha","25","21","22"
