"","Lake","Intercept only","Model GS","Model GI"
"1","fondococha","25","21","25"
"2","llaviucu","27","24","23"
"3","pinan","21","19","22"
"4","titicaca","43","41","41"
"5","umayo","17","13","9.4"
"6","yahuarcocha","25","23","22"
