"","Lake","code","Longitude","Latitude","Region","Year"
"152","L. Junin, shore","JunnPln_L.Jnn,sh4",-76.15588333,-11.05813167,"JuninPlain",1999
"153","L. Lulicocha, shore","JunnPln_L.Llcc,s1",-76.09690333,-10.77762667,"JuninPlain",1999
"154","L. Lulicocha, shore","JunnPln_L.Llcc,s2",-76.09690333,-10.77762667,"JuninPlain",1999
"155","L. Paca, 12m deep","JunnPln_L.Pc,12d1",-75.507378,-11.729454,"JuninPlain",1999
"156","L. Paca, inflow stream","JunnPln_L.Pc,ins1",-75.506931,-11.716983,"JuninPlain",1999
"157","L. Paca, inflow stream","JunnPln_L.Pc,ins2",-75.506931,-11.716983,"JuninPlain",1999
"158","L. Purun, center","JunnPln_L.Prn,cn",-76.45986667,-10.83525,"JuninPlain",1999
"159","L. Purun, shore","JunnPln_L.Prn,sh1",-76.45425,-10.8361,"JuninPlain",1999
"160","L. Purun, shore","JunnPln_L.Prn,sh2",-76.45425,-10.8361,"JuninPlain",1999
"161","L. Tauli, shore","JunnPln_L.Tl,shr2",-76.07055556,-10.72361111,"JuninPlain",1999
"162","L. Yanacocha, shore","JunnPln_L.Yncc,s1",-76.03633333,-10.83333333,"JuninPlain",1999
"163","L. Yanacocha, shore","JunnPln_L.Yncc,s4",-76.03633333,-10.83333333,"JuninPlain",1999
"164","Yanacocha 2, inflow stream","JunnPln_Yncc2,is",-75.983381,-10.857164,"JuninPlain",1999
"165","Yanacocha 4, outlet channel","JunnPln_Yncc4,oc",-75.999803,-10.871606,"JuninPlain",1999
"166","Yanacocha 1, wetland","JunnPln_Yncch1,w",-75.985734,-10.856508,"JuninPlain",1999
"167","Yanacocha 3, spring","JunnPln_Yncch3,s1",-75.97228,-10.85552,"JuninPlain",1999
"168","Yanacocha 3, spring","JunnPln_Yncch3,s2",-75.97228,-10.85552,"JuninPlain",1999
"169","Dos Chorreras","Sml-McE_ChrrrsLk",-79.159722,-2.770278,"Ecuador-Andean",2015
"170","Fondococha","Sml-McE_FondCoch",-79.23645,-2.760216667,"Ecuador-Andean",2014
"171","Lagunas de Napalé ","Sml-McE_LgnsdNpl",-79.29671667,-2.887233333,"Ecuador-Andean",2014
"172","Llaviucu","Sml-McE_Llaviacu",-79.14608333,-2.842933333,"Ecuador-Andean",2014
"173","Patoquinuas","Sml-McE_Patoquns",-79.20941,-2.781923,"Ecuador-Andean",2014
"174","Toreadora","Sml-McE_Toreador",-79.22351667,-2.779866667,"Ecuador-Andean",2014
"175","Titicaca-lake","Titicac_Ttcc-l-1a",-69.1467,-16.22201667,"Titicaca-lake",1996
"176","Titicaca-lake","Titicac_Ttcc-l-34",-69.43885,-15.95745,"Titicaca-lake",1998
"177","Titicaca-lake","Titicac_Ttcc-l-35",-69.70195,-15.8065,"Titicaca-lake",1998
"178","Titicaca-lake","Titicac_Ttcc-l-3a",-69.21098333,-15.2586,"Titicaca-lake",1996
"179","Titicaca-lake","Titicac_Ttcc-l-3b",-69.21098333,-15.2586,"Titicaca-lake",1996
"180","Titicaca-lake","Titicac_Ttcc-l-4b",-69.61886667,-15.53176667,"Titicaca-lake",1996
"181","Titicaca-lake","Titicac_Ttcc-l-5a",-69.068,-15.37446667,"Titicaca-lake",1996
"182","Titicaca-lake","Titicac_Ttcc-l-5b",-69.068,-15.37446667,"Titicaca-lake",1996
"183","Titicaca-lake","Titicac_Ttcc-l-6",-69.75473333,-15.8265,"Titicaca-lake",1996
"184","Titicaca-lake","Titicac_Ttcc-l-8a",-69.32006667,-16.04348333,"Titicaca-lake",1996
"185","Titicaca-lake","Titicac_Ttcc-l-8b",-69.32006667,-16.04348333,"Titicaca-lake",1996
"186","Ballivian","Vldr-SL_Ballivin",-68.08333333,-21.63333333,"Sud Lipez",2002
"187","Cachi","Vldr-SL_Cachi",-67.95,-21.71666667,"Sud Lipez",2002
"188","Laguna Canapa","Vldr-SL_Canapa",-68.01035,-21.50515,"Sud Lipez",2002
"189","Chiar Kkota","Vldr-SL_ChiarKkt",-68.06666667,-21.58333333,"Sud Lipez",2002
"190","Chulluncani","Vldr-SL_Chullncn1",-67.88333333,-21.53333333,"Sud Lipez",2002
"191","Chulluncani","Vldr-SL_Chullncn2",-67.88333333,-21.53333333,"Sud Lipez",2002
"192","Laguna Hedionda","Vldr-SL_Hedionda",-68.06666667,-21.56666667,"Sud Lipez",2002
"193","Honda","Vldr-SL_Honda",-68.06666667,-21.61666667,"Sud Lipez",2002
"194","Laguna Colorada","Vldr-SL_LagnClrd1",-67.78333333,-22.18333333,"Sud Lipez",2002
"195","Laguna Colorada","Vldr-SL_LagnClrd2",-67.78333333,-22.18333333,"Sud Lipez",2002
"196","Laguna Verde","Vldr-SL_LagunVrd",-67.8,-22.8,"Sud Lipez",2002
"197","Pastos Grandes","Vldr-SL_PstsGrnd1",-67.78333333,-21.65,"Sud Lipez",2002
"198","Pastos Grandes","Vldr-SL_PstsGrnd10",-67.78333333,-21.65,"Sud Lipez",2002
"199","Pastos Grandes","Vldr-SL_PstsGrnd11",-67.78333333,-21.65,"Sud Lipez",2002
"200","Pastos Grandes","Vldr-SL_PstsGrnd12",-67.78333333,-21.65,"Sud Lipez",2002
"201","Pastos Grandes","Vldr-SL_PstsGrnd13",-67.78333333,-21.65,"Sud Lipez",2002
"202","Pastos Grandes","Vldr-SL_PstsGrnd14",-67.78333333,-21.65,"Sud Lipez",2002
"203","Pastos Grandes","Vldr-SL_PstsGrnd15",-67.78333333,-21.65,"Sud Lipez",2002
